cause,avoidable,men,women,people,Males,Females,Persons,Males,Females,Persons
Drowning and submersion following fall into bath-tub (W66),x,1,1,2,np,np,np,—,—,—
Drowning and submersion while in swimming-pool (W67),x,10,3,13,np,np,np,274,np,326
Drowning and submersion following fall into swimming-pool (W68),x,13,9,22,np,np,0.1,516,433,949
Drowning and submersion while in natural water (W69),x,69,16,85,0.5,np,0.3,"2,725",687,"3,427"
Drowning and submersion following fall into natural water (W70),x,18,4,22,np,np,0.1,369,np,467
Other specified drowning and submersion (W73),x,3,3,6,np,np,np,np,np,324
Unspecified drowning and submersion (W74),x,7,2,9,np,np,np,169,np,218
Other accidental threats to breathing (W75-W84),x,127,79,206,0.9,0.5,0.7,"1,769",392,"2,180"
Accidental suffocation and strangulation in bed (W75),x,4,7,11,np,np,np,—,—,—
Other accidental hanging and strangulation (W76),x,11,0,11,np,—,np,650,—,664
"Threat to breathing due to cave-in, falling earth and other substances (W77)",x,1,0,1,np,—,np,np,—,np
Inhalation of gastric contents (W78),x,4,4,8,np,np,np,np,np,np
Inhalation and ingestion of food causing obstruction of respiratory tract (W79),x,48,20,68,0.3,0.1,0.2,428,223,650
Inhalation and ingestion of other objects causing obstruction of respiratory tract (W80),x,50,46,96,0.4,0.2,0.3,253,97,351
Confined to or trapped in a low-oxygen environment (W81),x,2,0,2,np,—,np,np,—,np
Other specified threats to breathing (W83),x,5,2,7,np,np,np,223,np,279
Unspecified threat to breathing (W84),x,2,0,2,np,—,np,np,—,np
"Exposure to electric current, radiation and extreme ambient air temperature and pressure (W85-W99)",x,8,2,10,np,np,np,344,np,358
Exposure to electric transmission lines (W85),x,4,0,4,np,—,np,np,—,np
Exposure to other specified electric current (W86),x,0,1,1,—,np,np,—,—,—
Exposure to unspecified electric current (W87),x,3,1,4,np,np,np,np,np,np
Exposure to ionizing radiation (W88),x,0,0,0,—,—,—,—,—,—
Exposure to man-made visible and ultraviolet light (W89),x,0,0,0,—,—,—,—,—,—
Exposure to other nonionizing radiation (W90),x,0,0,0,—,—,—,—,—,—
Exposure to unspecified type of radiation (W91),x,0,0,0,—,—,—,—,—,—
Exposure to excessive heat of man-made origin (W92),x,0,0,0,—,—,—,—,—,—
Exposure to excessive cold of man-made origin (W93),x,0,0,0,—,—,—,—,—,—
Exposure to high and low air pressure and changes in air pressure (W94),x,1,0,1,np,—,np,np,—,np
Exposure to other and unspecified man-made environmental factors (W99),x,0,0,0,—,—,—,—,—,—
"Exposure to smoke, fire and flames (X00-X09)",x,33,14,47,0.2,np,0.2,626,350,970
Exposure to uncontrolled fire in building or structure (X00),x,22,10,32,0.2,np,0.1,547,329,870
"Exposure to uncontrolled fire, not in building or structure (X01)",x,2,0,2,np,—,np,np,—,np
Exposure to controlled fire in building or structure (X02),x,2,0,2,np,—,np,np,—,np
"Exposure to controlled fire, not in building or structure (X03)",x,1,0,1,np,—,np,—,—,—
Exposure to ignition of highly flammable material (X04),x,0,2,2,—,np,np,—,np,np
Exposure to ignition or melting of nightwear (X05),x,0,1,1,—,np,np,—,—,—
Exposure to ignition or melting of other clothing and apparel (X06),x,1,0,1,np,—,np,np,—,np
"Exposure to other specified smoke, fire and flames (X08)",x,0,0,0,—,—,—,—,—,—
"Exposure to unspecified smoke, fire and flames (X09)",x,5,1,6,np,np,np,np,—,np
Contact with heat and hot substances (X10-X19),x,2,1,3,np,np,np,np,np,np
"Contact with hot drinks, food, fats and cooking oils (X10)",x,0,0,0,—,—,—,—,—,—
Contact with hot tap-water (X11),x,2,1,3,np,np,np,np,np,np
Contact with other hot fluids (X12),x,0,0,0,—,—,—,—,—,—
Contact with steam and hot vapours (X13),x,0,0,0,—,—,—,—,—,—
Contact with hot air and gases (X14),x,0,0,0,—,—,—,—,—,—
Contact with hot household appliances (X15),x,0,0,0,—,—,—,—,—,—
"Contact with hot heating appliances, radiators and pipes (X16)",x,0,0,0,—,—,—,—,—,—
"Contact with hot engines, machinery and tools (X17)",x,0,0,0,—,—,—,—,—,—
Contact with other hot metals (X18),x,0,0,0,—,—,—,—,—,—
Contact with other and unspecified heat and hot substances (X19),x,0,0,0,—,—,—,—,—,—
Contact with venomous animals and plants (X20-X29),x,11,6,17,np,np,np,292,np,390
Contact with venomous snakes and lizards (X20),x,5,4,9,np,np,np,166,np,221
Contact with venomous spiders (X21),x,0,0,0,—,—,—,—,—,—
Contact with scorpions (X22),x,0,0,0,—,—,—,—,—,—
"Contact with hornets, wasps and bees (X23)",x,6,2,8,np,np,np,125,np,169
Contact with centipedes and venomous millipedes (tropical) (X24),x,0,0,0,—,—,—,—,—,—
Contact with other specified venomous arthropods (X25),x,0,0,0,—,—,—,—,—,—
Contact with venomous marine animals and plants (X26),x,0,0,0,—,—,—,—,—,—
Contact with other specified venomous animals (X27),x,0,0,0,—,—,—,—,—,—
Contact with other specified venomous plants (X28),x,0,0,0,—,—,—,—,—,—
Contact with unspecified venomous animal or plant (X29),x,0,0,0,—,—,—,—,—,—
Exposure to forces of nature (X30-X39),x,23,8,31,0.2,np,0.1,602,np,655
Exposure to excessive natural heat (X30),x,11,2,13,np,np,np,352,np,382
Exposure to excessive natural cold (X31),x,9,6,15,np,np,np,178,np,203
Exposure to sunlight (X32),x,0,0,0,—,—,—,—,—,—
Victim of lightning (X33),x,2,0,2,np,—,np,np,—,np
Victim of earthquake (X34),x,0,0,0,—,—,—,—,—,—
Victim of volcanic eruption (X35),x,0,0,0,—,—,—,—,—,—
"Victim of avalanche, landslide and other earth movements (X36)",x,0,0,0,—,—,—,—,—,—
Victim of cataclysmic storm (X37),x,0,0,0,—,—,—,—,—,—
Victim of flood (X38),x,1,0,1,np,—,np,—,—,—
Exposure to other and unspecified forces of nature (X39),x,0,0,0,—,—,—,—,—,—
Accidental poisoning by and exposure to noxious substances (X40-X49),x,926,387,"1,313",7.8,3.1,5.4,"34,507","12,356","46,777"
"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics (X40)",x,6,9,15,np,np,np,114,197,310
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified (X41)",x,102,56,158,0.8,0.4,0.6,"3,769","1,636","5,402"
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified (X42)",x,222,59,281,1.9,0.5,1.2,"8,096","2,125","10,183"
Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system (X43),x,3,0,3,np,—,np,np,—,np
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances (X44)",x,520,233,753,4.4,1.9,3.1,"20,044","7,317","27,333"
Accidental poisoning by and exposure to alcohol (X45),x,58,26,84,0.5,0.2,0.3,"1,933",819,"2,740"
Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours (X46),x,1,0,1,np,—,np,np,—,np
Accidental poisoning by and exposure to other gases and vapours (X47),x,11,2,13,np,np,np,410,np,517
Accidental poisoning by and exposure to pesticides (X48),x,1,0,1,np,—,np,np,—,np
Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances (X49),x,2,2,4,np,np,np,np,np,np
"Overexertion, travel and privation (X50-X57)",x,2,0,2,np,—,np,np,—,np
Overexertion and strenuous or repetitive movements (X50),x,1,0,1,np,—,np,np,—,np
Travel and motion (X51),x,0,0,0,—,—,—,—,—,—
Prolonged stay in weightless environment (X52),x,0,0,0,—,—,—,—,—,—
Lack of food (X53),x,1,0,1,np,—,np,np,—,np
Lack of water (X54),x,0,0,0,—,—,—,—,—,—
Unspecified privation (X57),x,0,0,0,—,—,—,—,—,—
Accidental exposure to other and unspecified factors (X58-X59),x,447,524,971,3.3,2.7,3.0,"2,904","1,541","4,426"
Exposure to other specified factors (X58),x,1,7,8,np,np,np,np,294,298
Exposure to unspecified factor (X59),x,446,517,963,3.3,2.6,2.9,"2,896","1,247","4,128"
Other external causes of mortality (X60-Y36),,"2,636",886,"3,522",21.2,7.0,14.0,"92,624","30,734","123,333"
Intentional self-harm (X60-X84),x,"2,316",726,"3,042",18.6,5.7,12.1,"80,170","25,429","105,580"
"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics (X60)",x,2,4,6,np,np,np,np,np,np
"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified (X61)",x,51,49,100,0.4,0.4,0.4,"1,240","1,015","2,247"
"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified (X62)",x,22,14,36,0.2,np,0.1,677,338,"1,010"
Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system (X63),x,0,2,2,—,np,np,—,np,np
"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances (X64)",x,116,140,256,0.9,1.0,1.0,"3,263","3,599","6,861"
Intentional self-poisoning by and exposure to alcohol (X65),x,7,2,9,np,np,np,178,np,254
Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours (X66),x,1,0,1,np,—,np,np,—,np
Intentional self-poisoning by and exposure to other gases and vapours (X67),x,114,23,137,0.9,0.2,0.5,"3,678",835,"4,499"
Intentional self-poisoning by and exposure to pesticides (X68),x,9,1,10,np,np,np,68,np,81
Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances (X69),x,13,6,19,np,np,np,331,np,399
"Intentional self-harm by hanging, strangulation and suffocation (X70)",x,"1,458",355,"1,813",11.9,2.9,7.3,"55,411","14,978","70,417"
Intentional self-harm by drowning and submersion (X71),x,22,18,40,0.2,np,0.1,648,218,874
Intentional self-harm by handgun discharge (X72),x,26,1,27,0.2,np,0.1,518,np,590
"Intentional self-harm by rifle, shotgun and larger firearm discharge (X73)",x,124,3,127,0.9,np,0.5,"2,325",np,"2,426"
Intentional self-harm by other and unspecified firearm discharge (X74),x,15,0,15,np,—,np,243,—,244
Intentional self-harm by explosive material (X75),x,1,0,1,np,—,np,np,—,np
"Intentional self-harm by smoke, fire and flames (X76)",x,23,6,29,0.2,np,0.1,657,192,847
"Intentional self-harm by steam, hot vapours and hot objects (X77)",x,0,0,0,—,—,—,—,—,—
Intentional self-harm by sharp object (X78),x,61,10,71,0.5,np,0.3,"1,664",318,"1,970"
Intentional self-harm by blunt object (X79),x,1,0,1,np,—,np,np,—,np
Intentional self-harm by jumping from a high place (X80),x,121,45,166,1.0,0.4,0.7,"4,189","1,611","5,806"
Intentional self-harm by jumping or lying before moving object (X81),x,62,24,86,0.5,0.2,0.4,"2,538","1,140","3,676"
Intentional self-harm by crashing of motor vehicle (X82),x,31,6,37,0.3,np,0.2,"1,300",215,"1,524"
Intentional self-harm by other specified means (X83),x,6,1,7,np,np,np,208,np,255
Intentional self-harm by unspecified means (X84),x,30,16,46,0.2,np,0.2,896,417,"1,308"
Assault (X85-Y09),,154,74,228,1.3,0.6,0.9,"6,083","2,674","8,733"
"Assault by drugs, medicaments and biological substances (X85)",,1,1,2,np,np,np,np,—,np
Assault by corrosive substance (X86),,0,0,0,—,—,—,—,—,—
Assault by pesticides (X87),,0,0,0,—,—,—,—,—,—
Assault by gases and vapours (X88),,0,0,0,—,—,—,—,—,—
Assault by other specified chemicals and noxious substances (X89),,0,0,0,—,—,—,—,—,—
Assault by unspecified chemical or noxious substance (X90),,0,0,0,—,—,—,—,—,—
"Assault by hanging, strangulation and suffocation (X91)",,0,3,3,—,np,np,—,np,np
Assault by drowning and submersion (X92),,0,0,0,—,—,—,—,—,—
Assault by handgun discharge (X93),,3,1,4,np,np,np,np,np,np
"Assault by rifle, shotgun and larger firearm discharge (X94)",,12,4,16,np,np,np,581,np,721
Assault by other and unspecified firearm discharge (X95),,10,0,10,np,—,np,376,—,378
Assault by explosive material (X96),,0,0,0,—,—,—,—,—,—
"Assault by smoke, fire and flames (X97)",,2,2,4,np,np,np,np,np,np
"Assault by steam, hot vapours and hot objects (X98)",,0,0,0,—,—,—,—,—,—
Assault by sharp object (X99),,59,24,83,0.5,0.2,0.3,"2,405",681,"3,085"
Assault by blunt object (Y00),,7,6,13,np,np,np,150,218,364
Assault by pushing from high place (Y01),,0,0,0,—,—,—,—,—,—
Assault by pushing or placing victim before moving object (Y02),,1,0,1,np,—,np,np,—,np
Assault by crashing of motor vehicle (Y03),,4,3,7,np,np,np,np,np,275
Assault by bodily force (Y04),,19,5,24,np,np,0.1,773,260,"1,032"
Sexual assault by bodily force (Y05),,0,0,0,—,—,—,—,—,—
Neglect and abandonment (Y06),,0,1,1,—,np,np,—,—,—
Other maltreatment (Y07),,0,0,0,—,—,—,—,—,—
Assault by other specified means (Y08),,1,0,1,np,—,np,—,—,—
Assault by unspecified means (Y09),,35,24,59,0.3,0.2,0.2,"1,299",1096,"2,374"
Event of undetermined intent (Y10-Y34),,157,86,243,1.3,0.7,1.0,"5,937","2,631","8,585"
"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent (Y10)",,1,4,5,np,np,np,np,np,191
"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, (Y11)",,9,5,14,np,np,np,346,130,478
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent (Y12)",,9,3,12,np,np,np,413,np,502
"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent (Y13)",,1,0,1,np,—,np,np,—,np
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent (Y14)",,32,33,65,0.3,0.3,0.3,"1,255",1062,"2,316"
"Poisoning by and exposure to alcohol, undetermined intent (Y15)",,4,2,6,np,np,np,np,np,144
"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent (Y16)",,0,0,0,—,—,—,—,—,—
"Poisoning by and exposure to other gases and vapours, undetermined intent (Y17)",,6,1,7,np,np,np,218,np,225
"Poisoning by and exposure to pesticides, undetermined intent (Y18)",,0,0,0,—,—,—,—,—,—
"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent (Y19)",,0,0,0,—,—,—,—,—,—
"Hanging, strangulation and suffocation, undetermined intent (Y20)",,7,6,13,np,np,np,311,109,422
"Drowning and submersion, undetermined intent (Y21)",,8,1,9,np,np,np,201,np,248
"Handgun discharge, undetermined intent (Y22)",,0,0,0,—,—,—,—,—,—
"Rifle, shotgun and larger firearm discharge, undetermined intent (Y23)",,1,1,2,np,np,np,np,np,np
"Other and unspecified firearm discharge, undetermined intent (Y24)",,4,0,4,np,—,np,np,—,np
"Contact with explosive material, undetermined intent (Y25)",,0,0,0,—,—,—,—,—,—
"Exposure to smoke, fire and flames, undetermined intent (Y26)",,6,1,7,np,np,np,179,np,217
"Contact with steam, hot vapours and hot objects, undetermined intent (Y27)",,0,0,0,—,—,—,—,—,—
"Contact with sharp object, undetermined intent (Y28)",,6,1,7,np,np,np,179,np,192
"Contact with blunt object, undetermined intent (Y29)",,2,0,2,np,—,np,np,—,np
"Falling, jumping or pushed from a high place, undetermined intent (Y30)",,7,5,12,np,np,np,231,186,420
"Falling, lying or running before or into moving object, undetermined intent (Y31)",,4,2,6,np,np,np,np,np,292
"Crashing of motor vehicle, undetermined intent (Y32)",,11,5,16,np,np,np,420,178,602
"Other specified events, undetermined intent (Y33)",,0,2,2,—,np,np,—,np,np
"Unspecified event, undetermined intent (Y34)",,39,14,53,0.3,np,0.2,1510,445,1955
Legal intervention and operations of war (Y35-Y36),,9,0,9,np,—,np,435,—,435
Legal intervention (Y35),,9,0,9,np,—,np,435,—,435
Operations of war (Y36),,0,0,0,—,—,—,—,—,—
Complications of medical and surgical care (Y40-Y84),x,26,24,50,0.2,0.2,0.2,229,276,506
"Drugs, medicaments and biological substances causing adverse effects in therapeutic use (Y40-Y59)",x,6,11,17,np,np,np,121,154,275
Systemic antibiotics (Y40),x,2,1,3,np,np,np,np,np,np
Other systemic anti-infectives and antiparasitics (Y41),x,0,0,0,—,—,—,—,—,—
"Hormones and their synthetic substitutes and antagonists, not elsewhere classified (Y42)",x,0,0,0,—,—,—,—,—,—
Primarily systemic agents (Y43),x,0,0,0,—,—,—,—,—,—
Agents primarily affecting blood constituents (Y44),x,0,2,2,—,np,np,—,—,—
"Analgesics, antipyretics and anti-inflammatory drugs (Y45)",x,0,0,0,—,—,—,—,—,—
Antiepileptics and antiparkinsonism drugs (Y46),x,0,0,0,—,—,—,—,—,—
"Sedatives, hypnotics and antianxiety drugs (Y47)",x,0,0,0,—,—,—,—,—,—
Anaesthetics and therapeutic gases (Y48),x,1,1,2,np,np,np,np,np,np
"Psychotropic drugs, not elsewhere classified (Y49)",x,0,0,0,—,—,—,—,—,—
"Central nervous system stimulants, not elsewhere classified (Y50)",x,0,0,0,—,—,—,—,—,—
Drugs primarily affecting the autonomic nervous system (Y51),x,0,0,0,—,—,—,—,—,—
Agents primarily affecting the cardiovascular system (Y52),x,0,1,1,—,np,np,—,—,—
Agents primarily affecting the gastrointestinal system (Y53),x,0,0,0,—,—,—,—,—,—
Agents primarily affecting water-balance and mineral and uric acid metabolism (Y54),x,0,0,0,—,—,—,—,—,—
Agents primarily acting on smooth and skeletal muscles and the respiratory system (Y55),x,0,1,1,—,np,np,—,np,np
"Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs (Y56)",x,0,0,0,—,—,—,—,—,—
Other and unspecified drugs and medicaments (Y57),x,3,5,8,np,np,np,np,np,109
Bacterial vaccines (Y58),x,0,0,0,—,—,—,—,—,—
Other and unspecified vaccines and biological substances (Y59),x,0,0,0,—,—,—,—,—,—
Misadventures to patients during surgical and medical care (Y60-Y69),x,7,1,8,np,np,np,np,np,np
"Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care (Y60)",x,6,1,7,np,np,np,np,np,np
Foreign object accidentally left in body during surgical and medical care (Y61),x,0,0,0,—,—,—,—,—,—
Failure of sterile precautions during surgical and medical care (Y62),x,0,0,0,—,—,—,—,—,—
Failure in dosage during surgical and medical care (Y63),x,0,0,0,—,—,—,—,—,—
Contaminated medical or biological substances (Y64),x,0,0,0,—,—,—,—,—,—
Other misadventures during surgical and medical care (Y65),x,1,0,1,np,—,np,np,—,np
Nonadministration of surgical and medical care (Y66),x,0,0,0,—,—,—,—,—,—
Unspecified misadventure during surgical and medical care (Y69),x,0,0,0,—,—,—,—,—,—
Medical devices associated with adverse incidents in diagnostic and therapeutic use (Y70-Y82),x,0,1,1,—,np,np,—,np,np
Anaesthesiology devices associated with adverse incidents (Y70),x,0,0,0,—,—,—,—,—,—
Cardiovascular devices associated with adverse incidents (Y71),x,0,0,0,—,—,—,—,—,—
Otorhinolaryngological devices associated with adverse incidents (Y72),x,0,0,0,—,—,—,—,—,—
Gastroenterology and urology devices associated with adverse incidents (Y73),x,0,0,0,—,—,—,—,—,—
General hospital and personal-use devices associated with adverse incidents (Y74),x,0,0,0,—,—,—,—,—,—
Neurological devices associated with adverse incidents (Y75),x,0,0,0,—,—,—,—,—,—
Obstetric and gynaecological devices associated with adverse incidents (Y76),x,0,0,0,—,—,—,—,—,—
Ophthalmic devices associated with adverse incidents (Y77),x,0,0,0,—,—,—,—,—,—
Radiological devices associated with adverse incidents (Y78),x,0,0,0,—,—,—,—,—,—
Orthopaedic devices associated with adverse incidents (Y79),x,0,1,1,—,np,np,—,np,np
Physical medicine devices associated with adverse incidents (Y80),x,0,0,0,—,—,—,—,—,—
General- and plastic-surgery devices associated with adverse incidents (Y81),x,0,0,0,—,—,—,—,—,—
Other and unspecified medical devices associated with adverse incidents (Y82),x,0,0,0,—,—,—,—,—,—
"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure (Y83-Y84)",,13,11,24,np,np,0.1,53,115,169
"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure (Y83)",x,10,9,19,np,np,np,38,107,147
"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure (Y84)",x,3,2,5,np,np,np,np,np,np
Sequelae and supplementary factors of external cause (Y85-Y98),,67,26,93,0.5,0.2,0.3,827,441,"1,262"
Sequelae of external causes of morbidity and mortality (Y85-Y89),,67,26,93,0.5,0.2,0.3,827,441,"1,262"
Sequelae of transport accidents (Y85),x,13,7,20,np,np,0.1,141,144,286
Sequelae of other accidents (Y86),x,45,13,58,0.3,np,0.2,435,152,581
"Sequelae of intentional self-harm, assault and events of undetermined intent (Y87)",x,5,2,7,np,np,np,197,np,311
Sequelae with surgical and medical care as external cause (Y88),,4,3,7,np,np,np,np,np,np
Sequelae of other external causes (Y89),x,0,1,1,—,np,np,—,np,np
Supplementary factors related to causes of morbidity and mortality classified elsewhere (Y90-Y98),,0,0,0,—,—,—,—,—,—
Evidence of alcohol involvement determined by blood alcohol level (Y90),,0,0,0,—,—,—,—,—,—
Evidence of alcohol involvement determined by level of intoxication (Y91),,0,0,0,—,—,—,—,—,—
Nosocomial condition (Y95),,0,0,0,—,—,—,—,—,—
Work-related condition (Y96),,0,0,0,—,—,—,—,—,—
Environmental-pollution-related condition (Y97),x,0,0,0,—,—,—,—,—,—
Lifestyle-related condition (Y98),,0,0,0,—,—,—,—,—,—
